Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.223-192.168.1.233-22-54606-6,192.168.1.233,54606,192.168.1.223,22,6,01/08/2025 02:01:58 PM,229437,2,41,0.0,37.0,0.0,0.0,0.0,0.0,37.0,0.0,0.9024390243902438,5.778429189878424,161.26431220770843,187.4152817549044,5462.785714285716,14248.905738962543,60122.0,0.0,115313.0,115313.0,0.0,115313.0,115313.0,229437.0,5735.925000000001,14558.183948076272,60122.0,0.0,0,0,0,0,64,1004,8.716989849065321,178.69829190583908,0.0,37.0,0.840909090909091,5.577959874688626,31.11363636363636,0,1,0,0,0,0,0,0,20.0,0.8604651162790697,0.0,0.902439024390244,0,0,0,0,0,0,2,0,41,37,-1,0,0,0,0,0,0,0,0,0,0,0,Benign
192.168.1.223-192.168.1.233-22-40644-6,192.168.1.233,40644,192.168.1.223,22,6,01/08/2025 02:00:58 PM,237670,1,37,0.0,37.0,0.0,0.0,0.0,0.0,37.0,0.0,1.0,6.08276253029822,155.67804098119242,159.88555560230571,6423.513513513517,19347.344936452908,96969.0,0.0,0.0,0.0,0.0,0.0,0.0,237670.0,6601.944444444446,19601.9173288802,97047.0,0.0,0,0,0,0,32,888,4.207514621113308,155.67804098119242,0.0,37.0,0.948717948717949,5.924741690788225,35.10256410256411,0,1,0,0,0,0,0,0,37.0,0.9736842105263158,0.0,1.0,0,0,0,0,0,0,1,0,37,37,-1,0,0,0,0,0,0,0,0,0,0,0,Benign
192.168.1.223-192.168.1.233-22-53692-6,192.168.1.233,53692,192.168.1.223,22,6,01/08/2025 02:01:56 PM,260349,2,41,0.0,37.0,0.0,0.0,0.0,0.0,37.0,0.0,0.902439024390244,5.778429189878425,142.11692766248382,165.1629159320758,6198.785714285714,15164.529507929488,76785.0,0.0,129619.0,129619.0,0.0,129619.0,129619.0,260349.0,6508.725,15490.536416176728,76785.0,0.0,0,0,0,0,64,1124,7.681996089863991,157.4809198422118,0.0,37.0,0.840909090909091,5.577959874688626,31.11363636363636,0,1,0,0,0,0,0,0,20.0,0.8604651162790697,0.0,0.902439024390244,0,0,0,0,0,0,2,0,41,37,-1,0,0,0,0,0,0,0,0,0,0,0,Benign
192.168.1.223-192.168.1.233-22-46742-6,192.168.1.233,46742,192.168.1.223,22,6,01/08/2025 01:59:14 PM,261850,1,31,0.0,37.0,0.0,0.0,0.0,0.0,37.0,0.0,1.1935483870967742,6.645396174990672,141.30227229329768,122.20737063204125,8446.774193548388,14606.716237652863,52526.0,0.0,0.0,0.0,0.0,0.0,0.0,261850.0,8728.333333333334,14772.783351624126,52526.0,0.0,0,0,0,0,32,804,3.818980332251289,118.38839029978996,0.0,37.0,1.121212121212121,6.440873270360821,41.48484848484849,0,1,0,0,0,0,0,0,31.0,1.15625,0.0,1.1935483870967742,0,0,0,0,0,0,1,0,31,37,-1,0,0,0,0,0,0,0,0,0,0,0,Benign
192.168.1.223-192.168.1.233-22-60186-6,192.168.1.233,60186,192.168.1.223,22,6,01/08/2025 02:01:49 PM,118392,1,21,0.0,71.0,0.0,0.0,0.0,0.0,37.0,0.0,3.3809523809523814,10.688667786381007,599.7026826136902,185.82336644367865,5637.714285714286,8910.313283733949,32262.0,0.0,0.0,0.0,0.0,0.0,0.0,118392.0,5919.599999999999,9046.750427930636,32262.0,0.0,0,0,0,0,32,640,8.446516656530846,177.3768497871478,0.0,37.0,3.0869565217391304,10.237689030237336,104.81027667984188,0,1,0,0,0,0,0,0,21.0,3.227272727272727,0.0,3.380952380952381,0,0,0,0,0,0,1,0,21,71,-1,0,0,0,0,0,0,0,0,0,0,0,Benign
192.168.1.223-192.168.1.233-22-38600-6,192.168.1.233,38600,192.168.1.223,22,6,01/08/2025 02:00:52 PM,250813,1,34,0.0,37.0,0.0,0.0,0.0,0.0,37.0,0.0,1.088235294117647,6.345447650272828,147.52026410114308,139.54619577135156,7376.852941176468,14368.946744750498,51218.0,0.0,0.0,0.0,0.0,0.0,0.0,250813.0,7600.39393939394,14532.513579340368,51218.0,0.0,0,0,0,0,32,900,3.987034164895759,135.5591616064558,0.0,37.0,1.027777777777778,6.166666666666668,38.02777777777779,0,1,0,0,0,0,0,0,34.0,1.0571428571428572,0.0,1.088235294117647,0,0,0,0,0,0,1,0,34,37,-1,0,0,0,0,0,0,0,0,0,0,0,Benign
192.168.1.223-192.168.1.233-22-39444-6,192.168.1.233,39444,192.168.1.223,22,6,01/08/2025 02:00:55 PM,274908,2,32,0.0,37.0,0.0,0.0,0.0,0.0,37.0,0.0,1.15625,6.540737725975565,134.59048117915813,123.6777394619291,8330.545454545452,13770.92026947298,47869.0,0.0,188503.0,188503.0,0.0,188503.0,188503.0,274908.0,8868.0,14057.12603865622,47869.0,0.0,0,0,0,0,64,932,7.275161144819358,116.40257831710971,0.0,37.0,1.0571428571428572,6.254141484991023,39.114285714285714,0,1,0,0,0,0,0,0,16.0,1.088235294117647,0.0,1.15625,0,0,0,0,0,0,2,0,32,37,-1,0,0,0,0,0,0,0,0,0,0,0,Benign
192.168.1.223-192.168.1.233-22-45848-6,192.168.1.233,45848,192.168.1.223,22,6,01/08/2025 01:59:11 PM,193742,1,27,0.0,37.0,0.0,0.0,0.0,0.0,37.0,0.0,1.3703703703703705,7.120653320005385,190.97562738074348,144.5220963962383,7175.629629629631,10653.871795838604,39289.0,0.0,0.0,0.0,0.0,0.0,0.0,193742.0,7451.615384615385,10779.112353350523,39379.0,0.0,0,0,0,0,32,772,5.161503442722796,139.3605929535155,0.0,37.0,1.2758620689655171,6.87072751255092,47.20689655172414,0,1,0,0,0,0,0,0,27.0,1.3214285714285714,0.0,1.3703703703703705,0,0,0,0,0,0,1,0,27,37,-1,0,0,0,0,0,0,0,0,0,0,0,Benign
192.168.1.223-192.168.1.233-22-47294-6,192.168.1.233,47294,192.168.1.223,22,6,01/08/2025 01:59:15 PM,300768,2,25,0.0,71.0,0.0,0.0,0.0,0.0,37.0,0.0,2.8400000000000007,9.839037893344384,236.0623470581977,89.77018831790616,11568.0,17193.70512018861,66124.0,0.0,188542.0,188542.0,0.0,188542.0,188542.0,300768.0,12532.000000000002,17575.06722851883,66150.0,0.0,0,0,0,0,64,804,6.64964357910416,83.12054473880201,0.0,37.0,2.535714285714286,9.319363127410002,86.85052910052912,0,1,0,0,0,0,0,0,12.0,2.6296296296296298,0.0,2.84,0,0,0,0,0,0,2,0,25,71,-1,0,0,0,0,0,0,0,0,0,0,0,Benign
192.168.1.223-192.168.1.233-22-46644-6,192.168.1.233,46644,192.168.1.223,22,6,01/08/2025 01:59:14 PM,263419,1,34,0.0,37.0,0.0,0.0,0.0,0.0,37.0,0.0,1.088235294117647,6.345447650272828,140.46063495799467,132.86816820350847,7747.617647058827,16499.997689650354,58017.0,0.0,0.0,0.0,0.0,0.0,0.0,263419.0,7982.393939393942,16698.92513370882,58025.0,0.0,0,0,0,0,32,900,3.7962333772430994,129.07193482626536,0.0,37.0,1.027777777777778,6.166666666666668,38.02777777777779,0,1,0,0,0,0,0,0,34.0,1.0571428571428572,0.0,1.088235294117647,0,0,0,0,0,0,1,0,34,37,-1,0,0,0,0,0,0,0,0,0,0,0,Benign
